Aggregation_score,APR
352.77,apr1
352.77,apr1
352.77,apr1
352.77,apr1
402.43,apr1
561.97,apr1
561.97,apr1
561.97,apr1
561.97,apr1
570.27,apr1
561.97,apr1
561.97,apr1
561.97,apr1
561.97,apr1
561.97,apr1
561.97,apr1
561.97,apr1
352.77,apr1
352.77,apr1
352.77,apr1
352.77,apr1
352.77,apr1
352.77,apr1
352.77,apr1
352.77,apr1
561.94,apr1
452.50,apr1
400.70,apr1
452.50,apr1
134.29,apr1
452.50,apr1
452.50,apr1
353.55,apr1
0.00,apr1
3.76,apr1
452.50,apr1
353.55,apr1
400.70,apr1
452.50,apr1
0.00,apr1
452.50,apr1
350.06,apr1
452.50,apr1
452.50,apr1
452.50,apr1
99.81,apr1
99.81,apr1
452.50,apr1
452.50,apr1
353.55,apr1
452.50,apr1
353.55,apr1
99.81,apr1
452.50,apr1
99.81,apr1
452.50,apr1
353.55,apr1
561.94,apr1
561.94,apr1
352.77,apr1
352.77,apr1
352.77,apr1
352.77,apr1
352.77,apr1
452.50,apr1
352.77,apr1
352.77,apr1
352.77,apr1
352.77,apr1
352.77,apr1
352.77,apr1
561.94,apr1
352.77,apr1
235.72,apr1
352.77,apr1
561.94,apr1
530.11,apr1
327.07,apr1
452.50,apr1
452.50,apr1
452.62,apr1
452.62,apr1
452.62,apr1
452.62,apr1
452.62,apr1
452.62,apr1
452.50,apr1
452.50,apr1
562.09,apr1
452.62,apr1
452.62,apr1
452.62,apr1
452.50,apr1
452.50,apr1
452.62,apr1
452.62,apr1
452.62,apr1
352.77,apr1
16.22,apr1
345.31,apr1
0.00,apr1
0.00,apr1
0.00,apr1
73.00,apr1
0.00,apr1
73.07,apr1
18.90,apr1
0.00,apr1
73.07,apr1
0.00,apr1
0.00,apr1
0.00,apr1
0.00,apr1
0.00,apr1
0.00,apr1
0.00,apr1
0.00,apr1
0.00,apr1
0.00,apr1
0.00,apr1
73.07,apr1
73.07,apr1
0.00,apr1
0.00,apr1
0.00,apr1
0.00,apr1
0.00,apr1
0.00,apr1
0.00,apr1
0.00,apr1
378.32,apr1
262.00,apr1
390.16,apr1
484.33,apr1
560.99,apr1
0.00,apr1
73.07,apr1
0.00,apr1
0.00,apr1
0.00,apr1
0.00,apr1
73.07,apr1
0.00,apr1
0.00,apr1
0.00,apr1
0.00,apr1
0.00,apr1
0.00,apr1
0.00,apr1
6.06,apr1
0.00,apr1
0.00,apr1
0.00,apr1
0.00,apr1
4.74,apr1
263.08,apr1
0.00,apr1
0.00,apr1
10.47,apr1
498.04,apr1
0.00,apr1
0.00,apr1
0.96,apr1
503.10,apr1
503.10,apr1
0.00,apr1
0.00,apr1
4.74,apr1
498.47,apr1
10.47,apr1
2.31,apr1
421.19,apr1
0.00,apr1
0.00,apr1
10.47,apr1
503.10,apr1
10.47,apr1
498.47,apr1
0.00,apr1
528.17,apr1
559.85,apr1
498.47,apr1
498.47,apr1
25.62,apr1
426.09,apr1
4.74,apr1
0.00,apr1
4.74,apr1
0.00,apr1
0.00,apr1
0.00,apr1
498.47,apr1
4.74,apr1
399.86,apr1
0.00,apr1
0.00,apr1
0.00,apr1
0.00,apr1
0.00,apr1
498.47,apr1
91.57,apr1
545.66,apr1
293.59,apr1
0.00,apr1
0.00,apr1
498.04,apr1
0.00,apr1
15.13,apr1
498.04,apr1
0.00,apr1
0.00,apr1
498.47,apr1
0.00,apr1
91.57,apr1
430.49,apr1
498.47,apr1
0.00,apr1
498.47,apr1
498.47,apr1
0.00,apr1
0.00,apr1
4.74,apr1
10.47,apr1
0.00,apr1
2.31,apr1
0.00,apr1
0.00,apr1
223.70,apr1
260.96,apr1
0.00,apr1
0.00,apr1
0.00,apr1
10.47,apr1
0.00,apr1
0.00,apr1
0.00,apr1
498.47,apr1
0.00,apr1
474.57,apr1
498.47,apr1
0.00,apr1
0.00,apr1
352.77,apr1
6.44,apr2
6.44,apr2
6.44,apr2
6.44,apr2
0.00,apr2
6.41,apr2
6.41,apr2
6.41,apr2
6.41,apr2
6.41,apr2
6.41,apr2
6.41,apr2
