Homo sapiens
Mus musculus
Rattus norvegicus
Bos taurus
Gallus gallus
Sus scrofa
Canis lupus
Macaca mulatta
Oryctolagus cuniculus
Monodelphis domestica
Equus caballus
Ornithorhynchus anatinus
Papio anubis
Callithrix jacchus
Pongo abelii
Ailuropoda melanoleuca
Meleagris gallopavo
Nomascus leucogenys
Loxodonta africana
Cavia porcellus
Cricetulus griseus
Sarcophilus harrisii
Otolemur garnettii
Pan paniscus
Saimiri boliviensis
Felis catus
Gorilla gorilla
Orcinus orca
Tursiops truncatus
Trichechus manatus
Odobenus rosmarus
Ceratotherium simum
Dasypus novemcinctus
Ochotona princeps
Sorex araneus
Octodon degus
Jaculus jaculus
Condylura cristata
Echinops telfairi
Mustela putorius
Heterocephalus glaber
Anas platyrhynchos
Ficedula albicollis
Mesocricetus auratus
Melopsittacus undulatus
Falco peregrinus
Macaca fascicularis
Chrysemys picta
Ictidomys tridecemlineatus
Microtus ochrogaster
Chinchilla lanigera
Falco cherrug
Columba livia
Pseudopodoces humilis
Capra hircus
Myotis brandtii
Bos mutus
Latimeria chalumnae
Alligator sinensis
Bubalus bubalis
Myotis lucifugus
Pelodiscus sinensis
Tupaia chinensis
Camelus ferus
Vicugna pacos
Leptonychotes weddellii
Myotis davidii
Chrysochloris asiatica
Elephantulus edwardii
Pteropus alecto
Peromyscus maniculatus
Chelonia mydas
Physeter catodon
Balaenoptera acutorostrata
Python bivittatus
Lipotes vexillifer
Erinaceus europaeus
Callorhinchus milii
Orycteropus afer
Chlorocebus sabaeus
Carlito syrichta
Eptesicus fuscus
Calypte anna
Equus przewalskii
Galeopterus variegatus
Ursus maritimus
Nannospalax galili
Serinus canaria
Aptenodytes forsteri
Pterocles gutturalis
Rhinopithecus roxellana
Haliaeetus leucocephalus
Fukomys damarensis
Notothenia coriiceps
Bison bison
Camelus bactrianus
Camelus dromedarius
Pteropus vampyrus
Aquila chrysaetos
Macaca nemestrina
Colobus angolensis
Mandrillus leucophaeus
Cercocebus atys
Aotus nancymaae
Taeniopygia guttata
Propithecus coquereli
Microcebus murinus
Dipodomys ordii
Apteryx mantelli
Equus asinus
Sturnus vulgaris
Calidris pugnax
Acinonyx jubatus
Gekko japonicus
Marmota marmota
Panthera tigris
Parus major
Protobothrops mucrosquamatus
Coturnix japonica
Rousettus aegyptiacus
Miniopterus natalensis
Pan troglodytes
Cebus capucinus
Manis javanica
Corvus brachyrhynchos
Lepidothrix coronata
Rhinopithecus bieti
Nanorana parkeri
Scleropages formosus
Panthera pardus
Alligator mississippiensis
Gavialis gangeticus
Crocodylus porosus
Hipposideros armiger
Bos indicus
Castor canadensis
Rhincodon typus
Pogona vitticeps
Odocoileus virginianus
Phascolarctos cinereus
Mus caroli
Mus pahari
Numida meleagris
Lonchura striata
Meriones unguiculatus
Neomonachus schauinslandi
Enhydra lutris
Delphinapterus leucas
Piliocolobus tephrosceles
Terrapene carolina
Desmodus rotundus
Neophocaena asiaeorientalis
Theropithecus gelada
Canis lupus
Callorhinus ursinus
Puma concolor
Vulpes vulpes
Apteryx rowi
Urocitellus parryii
Ursus arctos
Pseudonaja textilis
Lagenorhynchus obliquidens
Bos indicus
Zalophus californianus
Corapipo altera
Neopelma chrysocephalum
Pipra filicauda
Vombatus ursinus
Empidonax traillii
Marmota flaviventris
Eumetopias jubatus
Phyllostomus discolor
Podarcis muralis
Grammomys surdaster
Peromyscus leucopus
Monodon monoceros
Rhinatrema bivittatum
Suricata suricatta
Aquila chrysaetos
Microcaecilia unicolor
Lynx canadensis
Strigops habroptila
Gopherus evgoodei
Globicephala melas
Camarhynchus parvulus
Mastomys coucha
Phasianus colchicus
Corvus moneduloides
Hylobates moloch
Aythya fuligula
Thamnophis elegans
Sapajus apella
Mustela erminea
Phoca vitulina
